[-0.6, 0.6]
[-0.5992541527313534, 0.5700924686035816]
[-0.5970184652192408, 0.5402592920425099]
[-0.5932984957350772, 0.5105746402942953]
[-0.5881034927091264, 0.48111231408036154]
[-0.5814463717374467, 0.4519455613858238]
[-0.5733436834716845, 0.4231468953534576]
[-0.563815572471545, 0.3947879140045988]
[-0.5528857271222446, 0.36693912223518316]
[-0.5405813207414515, 0.3396697565294652]
[-0.5269329440221371, 0.31304761282720905]
[-0.5119745289792934, 0.287138877972301]
[-0.495743264589597, 0.26200796516182673]
[-0.4782795043337536, 0.2377173538047137]
[-0.4596266658713869, 0.21432743418807643]
[-0.4398311230978958, 0.1918963573374483]
[-0.41894209085164374, 0.17047989044416903]
[-0.39701150255811585, 0.15013127821935962]
[-0.3740938811152403, 0.13090111051918216]
[-0.350246203340874, 0.11283719657048608]
[-0.3255277583194556, 0.09598444610953709]
[-0.3000000000000003, 0.08038475772933702]
[-0.27372639441189794, 0.06607691471311898]
[-0.246772261878367, 0.05309648861299615]
[-0.21920461461983745, 0.04147575081347759]
[-0.1910919901510105, 0.031243592299720943]
[-0.16250428088580332, 0.02242545182999288]
[-0.13351256037378928, 0.015043252690906]
[-0.10418890660015824, 0.009115348192675243]
[-0.074606222788491, 0.004656476039896802]
[-0.044838056151854336, 0.0016777216912919357]
[-0.014958415042843927, 1.8649079951023852E-4]
[0.014958415042843638, 1.8649079951023852E-4]
[0.04483805615185458, 0.0016777216912919357]
[0.07460622278849073, 0.004656476039896688]
[0.10418890660015795, 0.009115348192675128]
[0.13351256037378903, 0.015043252690906]
[0.16250428088580304, 0.022425451829992768]
[0.19109199015101025, 0.031243592299720832]
[0.2192046146198372, 0.04147575081347748]
[0.24677226187836676, 0.05309648861299604]
[0.27372639441189717, 0.06607691471311852]
[0.3, 0.0803847577293368]
[0.32552775831945574, 0.0959844461095372]
[0.3502462033408741, 0.1128371965704863]
[0.37409388111524, 0.13090111051918205]
[0.39701150255811557, 0.1501312782193595]
[0.41894209085164374, 0.17047989044416903]
[0.43983112309789557, 0.19189635733744814]
[0.4596266658713866, 0.21432743418807626]
[0.4782795043337537, 0.23771735380471398]
[0.4957432645895969, 0.2620079651618268]
[0.5119745289792932, 0.28713887797230087]
[0.5269329440221372, 0.31304761282720933]
[0.5405813207414515, 0.339669756529465]
[0.5528857271222444, 0.36693912223518266]
[0.563815572471545, 0.39478791400459884]
[0.5733436834716845, 0.4231468953534577]
[0.5814463717374467, 0.45194556138582365]
[0.5881034927091263, 0.48111231408036137]
[0.5932984957350772, 0.5105746402942953]
[0.5970184652192407, 0.5402592920425097]
[0.5992541527313534, 0.5700924686035814]
[0.6, 0.6]
[0.5992541527313534, 0.6299075313964183]
[0.5970184652192408, 0.6597407079574901]
[0.5932984957350772, 0.6894253597057046]
[0.5881034927091263, 0.7188876859196386]
[0.5814463717374467, 0.7480544386141762]
[0.5733436834716844, 0.7768531046465426]
[0.563815572471545, 0.8052120859954013]
[0.5528857271222446, 0.8330608777648169]
[0.5405813207414515, 0.8603302434705349]
[0.5269329440221371, 0.886952387172791]
[0.5119745289792934, 0.9128611220276989]
[0.49574326458959694, 0.9379920348381733]
[0.4782795043337535, 0.9622826461952864]
[0.45962666587138684, 0.9856725658119235]
[0.4398311230978958, 1.0081036426625516]
[0.4189420908516437, 1.029520109555831]
[0.3970115025581156, 1.0498687217806404]
[0.37409388111524017, 1.069098889480818]
[0.350246203340874, 1.087162803429514]
[0.32552775831945563, 1.1040155538904628]
[0.30000000000000004, 1.1196152422706631]
[0.2737263944118977, 1.1339230852868813]
[0.24677226187836693, 1.1469035113870039]
[0.219204614619837, 1.1585242491865224]
[0.19109199015101067, 1.168756407700279]
[0.1625042808858031, 1.1775745481700073]
[0.13351256037378867, 1.1849567473090943]
[0.10418890660015825, 1.1908846518073246]
[0.07460622278849104, 1.1953435239601031]
[0.0448380561518545, 1.198322278308708]
[0.014958415042843821, 1.1998135092004898]
[-0.014958415042843749, 1.1998135092004898]
[-0.04483805615185456, 1.198322278308708]
[-0.07460622278849109, 1.1953435239601031]
[-0.10418890660015817, 1.1908846518073246]
[-0.1335125603737886, 1.1849567473090943]
[-0.16250428088580313, 1.1775745481700073]
[-0.1910919901510106, 1.168756407700279]
[-0.21920461461983706, 1.1585242491865224]
[-0.24677226187836696, 1.1469035113870039]
[-0.2737263944118978, 1.1339230852868811]
[-0.2999999999999999, 1.1196152422706631]
[-0.3255277583194556, 1.1040155538904628]
[-0.350246203340874, 1.0871628034295138]
[-0.3740938811152403, 1.069098889480818]
[-0.3970115025581157, 1.0498687217806404]
[-0.41894209085164363, 1.029520109555831]
[-0.4398311230978958, 1.0081036426625516]
[-0.4596266658713868, 0.9856725658119238]
[-0.4782795043337535, 0.9622826461952864]
[-0.495743264589597, 0.9379920348381732]
[-0.5119745289792934, 0.9128611220276989]
[-0.5269329440221372, 0.8869523871727909]
[-0.5405813207414515, 0.8603302434705349]
[-0.5528857271222446, 0.8330608777648167]
[-0.563815572471545, 0.8052120859954014]
[-0.5733436834716845, 0.7768531046465426]
[-0.5814463717374467, 0.7480544386141761]
[-0.5881034927091263, 0.7188876859196386]
[-0.5932984957350772, 0.6894253597057045]
[-0.5970184652192408, 0.6597407079574901]
[-0.5992541527313534, 0.6299075313964184]
